Age x,lx,dx,qx,lx,dx,qx,lx,dx,qx
50,0,0,0.00239571,0,0,0.00143886,0,0,0.00192686
51,0,0,0.00265628,0,0,0.00157179,0,0,0.00212461
52,0,0,0.00291403,0,0,0.00173535,0,0,0.00233585
53,0,0,0.00324925,0,0,0.00187411,0,0,0.00257426
54,0,0,0.00360773,0,0,0.00208505,0,0,0.00285977
55,0,0,0.00397997,0,0,0.00229854,0,0,0.00315335
56,0,0,0.00432697,0,0,0.0025307,0,0,0.00344311
57,0,0,0.00479254,0,0,0.00273107,0,0,0.00377719
58,0,0,0.00527393,0,0,0.0029951,0,0,0.00415028
59,0,0,0.00584408,0,0,0.0032103,0,0,0.00454379
60,0,0,0.00646787,0,0,0.00356512,0,0,0.00503277
61,0,0,0.00710026,0,0,0.00396967,0,0,0.00555014
62,0,0,0.0078151,0,0,0.00431859,0,0,0.00608088
63,0,0,0.00866487,0,0,0.00478097,0,0,0.00673491
64,0,0,0.0096527,0,0,0.00534955,0,0,0.00750997
65,0,0,0.01079527,0,0,0.00590473,0,0,0.0083544
66,0,0,0.01172826,0,0,0.00648452,0,0,0.0091044
67,0,0,0.01279794,0,0,0.00708148,0,0,0.00992964
68,0,0,0.01397499,0,0,0.00775853,0,0,0.01084644
69,0,0,0.01566005,0,0,0.00873246,0,0,0.01216211
70,0,0,0.01747358,0,0,0.00973026,0,0,0.01354938
71,0,0,0.01973748,0,0,0.01087594,0,0,0.01522794
72,0,0,0.02172177,0,0,0.01211188,0,0,0.01680887
73,0,0,0.02392103,0,0,0.01359765,0,0,0.01861722
74,0,0,0.02597889,0,0,0.01515423,0,0,0.0203884
75,0,0,0.02922232,0,0,0.01714579,0,0,0.02295004
76,0,0,0.03286943,0,0,0.01951132,0,0,0.02588811
77,0,0,0.03754771,0,0,0.02253268,0,0,0.02964587
78,0,0,0.04150015,0,0,0.02534126,0,0,0.03293161
79,0,0,0.04704303,0,0,0.02948549,0,0,0.03765655
80,0,0,0.05277063,0,0,0.03364738,0,0,0.04245638
81,0,0,0.05895118,0,0,0.03827282,0,0,0.04769134
82,0,0,0.06573642,0,0,0.04348597,0,0,0.05349609
83,0,0,0.07218438,0,0,0.04899592,0,0,0.05929015
84,0,0,0.08125731,0,0,0.05647035,0,0,0.06731803
85,0,0,0.09263958,0,0,0.06664961,0,0,0.07784933
86,0,0,0.1070014,0,0,0.07871028,0,0,0.09069709
87,0,0,0.12226466,0,0,0.091748,0,0,0.10443639
88,0,0,0.13987939,0,0,0.10588107,0,0,0.11971934
89,0,0,0.16003311,0,0,0.12243635,0,0,0.13736977
90,0,0,0.18075868,0,0,0.13896089,0,0,0.15510213
91,0,0,0.20019365,0,0,0.15673197,0,0,0.17299444
92,0,0,0.22469547,0,0,0.17849039,0,0,0.19519121
93,0,0,0.24599945,0,0,0.19935499,0,0,0.21559071
94,0,0,0.27561788,0,0,0.22406909,0,0,0.24127948
95,0,0,0.30556044,0,0,0.2499721,0,0,0.26765714
96,0,0,0.33257691,0,0,0.27557069,0,0,0.2927521
97,0,0,0.35657767,0,0,0.30037763,0,0,0.31636218
98,0,0,0.37908291,0,0,0.32598365,0,0,0.34021233
99,0,0,0.40251482,0,0,0.35403567,0,0,0.36628239
100,0,0,0.43419751,0,0,0.38552018,0,0,0.39710755
101,0,0,0.47489509,0,0,0.42121692,0,0,0.43317163
102,0,0,0.50954043,0,0,0.45388857,0,0,0.46535169
103,0,0,0.5444304,0,0,0.4870541,0,0,0.49787804
104,0,0,0.57924222,0,0,0.52042489,0,0,0.5304761
105,0,0,0.61364118,0,0,0.55370142,0,0,0.56286687
106,0,0,0.64730123,0,0,0.58658521,0,0,0.59477978
107,0,0,0.67990812,0,0,0.61878315,0,0,0.62595505
108,0,0,0.7111791,0,0,0.6500244,0,0,0.65615874
109,0,0,0.740861,0,0,0.68006633,0,0,0.68518502
110,0,0,0.76874484,0,0,0.70869624,0,0,0.71285617
111,0,0,0.79466568,0,0,0.73574232,0,0,0.73902945
112,0,0,0.81850801,0,0,0.76107509,0,0,0.76359665
113,0,0,0.84019901,0,0,0.7846035,0,0,0.78647859
114,0,0,0.85971165,0,0,0.80627638,0,0,0.80762653
115,0,0,0.87705602,0,0,0.82607963,0,0,0.82702021
116,0,0,0.89227829,0,0,0.84403145,0,0,0.84466527
117,0,0,0.90545023,0,0,0.86017355,0,0,0.86058689
118,0,0,0.91666748,0,0,0.87457481,0,0,0.87483605
119,0,0,0.92604048,0,0,0.88731553,0,0,0.88747597
